Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Comp.,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,Raw data,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07,SENSOR 08,SENSOR 09,SENSOR 10,SENSOR 11,SENSOR 12,SENSOR 13,SENSOR 14,SENSOR 15,SENSOR 16,SENSOR 17,SENSOR 18,SENSOR 19,SENSOR 20,SENSOR 21,SENSOR 22,SENSOR 23,SENSOR 24,SENSOR 25,SENSOR 26,SENSOR 27,SENSOR 28,SENSOR 29,SENSOR 30,SENSOR 31
129847,,4989,60,2/10/2018 8:12,NP,N,FORMAT TEMPL. 31X8-A1 #1,2/10/2018 8:13,7.15238,60.91917,0,,,B,401677672.4,7.15238,60.91917,7.15238,60.91917,8,3,1,2,0,-129,677672.44,0,0,0,91,3806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129847,,4989,390,2/10/2018 8:33,MA,N,FORMAT TEMPL. 31X8-A1 #1,2/10/2018 8:28,7.15612,60.91858,0,,,3,401677672.9,7.15612,60.91858,7.15612,60.91858,58,3,1,6,1,-118,677672.91,144,182,113,82,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129847,,4989,250,2/10/2018 9:23,NN,N,FORMAT TEMPL. 31X8-A1 #1,2/10/2018 9:22,7.15163,60.92411,0,,,1,401677669.2,7.15163,60.92411,7.15163,60.92411,58,3,1,5,0,-123,677669.15,774,6402,93,105,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129847,,4989,591,2/10/2018 9:32,MB,N,FORMAT TEMPL. 31X8-A1 #1,2/10/2018 9:28,7.15991,60.91953,0,,,3,401677669,7.15991,60.91953,7.15991,60.91953,56,3,1,6,0,-127,677669.02,181,916,35,92,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129847,,4989,60,2/10/2018 9:46,NK,N,FORMAT TEMPL. 31X8-A1 #1,2/10/2018 9:47,7.16149,60.91404,0,,,B,401677667.1,7.16149,60.91404,7.16149,60.91404,8,3,1,2,0,-127,677667.05,1667,9190,302,93,2703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129847,,4989,310,2/10/2018 10:09,MA,N,FORMAT TEMPL. 31X8-A1 #1,2/10/2018 10:07,7.16036,60.92145,0,,,2,401677667.9,7.16036,60.92145,7.16036,60.92145,66,3,1,4,1,-118,677667.86,388,7650,19,97,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129847,,4989,0,2/10/2018 11:02,NN,N,FORMAT TEMPL. 31X8-A1 #1,2/10/2018 11:02,7.16082,60.92196,0,,,B,401677667,7.16082,60.92196,7.16082,60.92196,8,3,1,1,0,-129,677667.03,1137,2770,466,94,3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129847,,4989,340,2/10/2018 11:06,MB,N,FORMAT TEMPL. 31X8-A1 #1,2/10/2018 11:05,7.16728,60.92721,0,,,A,401677669.6,7.16728,60.92721,7.16728,60.92721,6,3,1,3,0,-129,677669.57,276,2278,33,82,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129847,,4989,0,2/10/2018 11:33,NP,N,FORMAT TEMPL. 31X8-A1 #1,2/10/2018 11:33,7.16687,60.92729,0,,,B,401677670.9,7.16687,60.92729,7.16687,60.92729,6,3,1,1,0,-129,677670.94,757,1658,345,87,2118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129847,,4989,210,2/10/2018 11:50,MA,N,FORMAT TEMPL. 31X8-A1 #1,2/10/2018 11:48,7.1639,60.93266,0,,,2,401677671.8,7.1639,60.93266,7.1639,60.93266,56,3,1,4,0,-121,677671.76,317,2197,45,96,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
